Ruta,ClienteID,Cliente,FechaEntrega,FechaDevolucion,DiasDeVenta,Entrega,Devolucion,Venta
eff55860,05be555b,Abarrotes Cataleya,2023-01-31,2023-02-02,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-02,2023-02-07,5,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-07,2023-02-08,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-09,2023-02-10,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-10,2023-02-13,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-13,2023-02-15,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-15,2023-02-16,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-16,2023-02-17,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-17,2023-02-20,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-20,2023-02-22,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-22,2023-02-23,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-23,2023-02-24,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-24,2023-02-27,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-27,2023-02-28,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-02-28,2023-03-01,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-01,2023-03-02,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-02,2023-03-06,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-06,2023-03-07,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-07,2023-03-08,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-08,2023-03-10,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-10,2023-03-13,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-13,2023-03-15,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-15,2023-03-16,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-16,2023-03-17,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-17,2023-03-22,5,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-22,2023-03-23,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-24,2023-03-27,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-27,2023-03-28,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-28,2023-03-29,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-03-29,2023-04-03,5,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-03,2023-04-04,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-04,2023-04-05,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-05,2023-04-12,7,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-12,2023-04-14,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-14,2023-04-17,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-17,2023-04-18,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-18,2023-04-24,6,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-24,2023-04-29,5,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-04-29,2023-05-03,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-05-03,2023-05-05,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-05-05,2023-05-09,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-05-09,2023-05-12,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-05-12,2023-05-15,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-05-29,2023-05-30,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-01,2023-06-05,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-05,2023-06-07,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-15,2023-06-16,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-16,2023-06-19,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-19,2023-06-21,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-21,2023-06-22,1,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-22,2023-06-26,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-26,2023-06-28,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-28,2023-06-30,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-06-30,2023-07-03,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-03,2023-07-10,7,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-10,2023-07-13,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-13,2023-07-19,6,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-19,2023-07-21,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-21,2023-07-24,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-24,2023-07-26,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-26,2023-07-28,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-28,2023-07-31,3,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-07-31,2023-08-02,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-08-02,2023-08-04,2,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-08-04,2023-08-10,6,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-08-10,2023-08-14,4,1,1,0
eff55860,05be555b,Abarrotes Cataleya,2023-08-14,2023-08-16,2,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-08,2023-02-14,6,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-14,2023-02-17,3,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-17,2023-02-21,4,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-21,2023-02-23,2,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-23,2023-02-28,5,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-02-28,2023-03-02,2,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-02,2023-03-07,5,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-07,2023-03-09,2,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-09,2023-03-14,5,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-14,2023-03-16,2,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-16,2023-03-23,7,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-23,2023-03-28,5,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-28,2023-03-31,3,2,2,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-03-31,2023-04-05,5,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-04-05,2023-04-12,7,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-04-12,2023-04-15,3,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-04-15,2023-04-18,3,2,1,1
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-04-18,2023-04-25,7,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-04-25,2023-04-27,2,1,1,0
eff55860,13f1e2a4,Adriana Velazco Carrillo,2023-05-04,2023-05-09,5,2,1,1
